title,author,publisher,pubdate,isbn,discount,description,link,image
비밍 (내면의 빛을 회복하는 긍정 에너지 디자인),마릴린 베르슈에렌,체리쉬,20240820,9791198441652,22500,"“빛의 이미지를 따라 떠나는 자아 발견의 여정”

인스타그램에서 화제를 일으킨 @beamingdesign의 작가 마릴린 베르슈에렌은 『비밍』에서 직관을 깨우고 마음을 자극하는 100가지 광대한 시각화 이미지를 선보인다. 
빛나는 형상의 색채와 도형으로 시각화된 작품 안에는 희망, 회복탄력성, 기쁨의 메시지들이 담겨 있어 독자에게 깊은 사색과 자아성찰의 기회를 제공한다. 
독자의 상호작용을 심화하기 위한 강력한 이미지와 마음챙김, 일기쓰기, 호흡법과 관련된 수십 가지의 가이드를 함께 담았다.",https://search.shopping.naver.com/book/catalog/49892493645,https://shopping-phinf.pstatic.net/main_4989249/49892493645.20240824075123.jpg
타임 스파이럴,미즈모리 에렌,소미미디어,20171102,9791161902302,12420,"일본 웹소설에서 전격 드라마화된 
화제의 SF 판타지 미스터리 로맨스!

일본 TBS 드라마 [타임 스파이럴]의 원작 소설! GACKT, 쿠로키 메이사 등 한국인에게도 익숙한 호화로운 출연진으로 무장한 이 드라마는 웹에 연재되던 소설을 영상화한 것이다. 무엇보다 특이한 점은 정식 출판 없이, 오로지 취미로 웹에 연재되던 소설을 곧바로 드라마화 했다는 것! 소설 『타임 스파이럴』은 그만큼 독특하고 매력적인 분위기를 가진 소설로, SF와 미스터리, 로맨스라는 색다른 세 장르를 멋지게 결합시켰다. 특히나 남자 주인공 ‘타츠미 슈야’의 위험하고 신비한 매력은 읽는 내내 독자로 하여금 눈을 떼지 못하게 만든다.",https://search.shopping.naver.com/book/catalog/32467005775,https://shopping-phinf.pstatic.net/main_3246700/32467005775.20221229073721.jpg
解ける螺旋,미즈모리 에렌,スタ-ツ出版,20140826,9784883814350,17240,,https://search.shopping.naver.com/book/catalog/35300652708,https://shopping-phinf.pstatic.net/main_3530065/35300652708.20221018142734.jpg
꿈의 공장(할리우드영화산업 선구자들의 시련과 야망),일리아 에렌부르크,눈빛,20001005,9788974097028,10800,이 책은 할리우드 초기를 지배한 제왕들을 주인공으로 삼아 흥미로운 이야기들을 엮어낸다. 다른 영화사 책에서 찾기 힘든 이런 개인적인 상상력과 독창적인 탐색은 독자에게 우리가 일상적으로 보는 할리우드 영화 제작 시스템의 이면을 좀더 깊이있게 들여다보도록 해준다.,https://search.shopping.naver.com/book/catalog/35307790560,https://shopping-phinf.pstatic.net/main_3530779/35307790560.20221018224314.jpg
1~4명의 어린이를 위한 피아노 교재 1 (1~4명의 어린이를 위한 피아노 교재 1),클라우디아 에렌프라이스,음악춘추사,20060630,9788913011559,9000,"만 6세부터 10세까지의 어린이를 위한 피아노 교재이며, 그룹레슨과 개인레슨을 위한 교재이다. ‘소리에 대한 경험’부터 시작해서 쉽게 파악할 수 있는 구조로 만들어진 노래와 연주곡들을 통해 아이들이 음악에 대해 보다 넓은 시야를 갖도록 구성하였다. 많은 주제들이 즉흥연주 과제와 연결되어 있어, 어린이들이 기초적인 음악 요소들로 피아노를 칠 수 있도록 한다. 어린이들에게 직접적으로 곡에 대해 설명하고 있으며, 어린이들이 스스로 이해하고 공부할 수 있도록 하였다. 책의 말미에는 음표, 박자표, 기보법, 음의 세기와 빠...",https://search.shopping.naver.com/book/catalog/32510490920,https://shopping-phinf.pstatic.net/main_3251049/32510490920.20221227202825.jpg
1~4명의 어린이를 위한 피아노 교재 2 (1~4명의 어린이를 위한 피아노 교재 2),클라우디아 에렌프라이스,음악춘추사,20060630,9788913011566,10800,"총체적 음악 경험을 통해 피아노를 치고 배울 수 있도록 해주고, 피아노 수업의 내용과 목적을 음악교육의 교수법적, 방법론적 원칙들과 연결시키는 교재. 수년 동안 그룹레슨과 개인레슨을 통해 어린이들을 가르친 경험으로 개발되었다.

 시리즈는 교재 두 권과 각 권에 대한 교사 지침서로 구성되어 있으며, 본서는 피아노 교재 1권에 이어진 것으로, 두 명 또는 개인렛슨을 통해 7~11세 어린이들을 대상으로 하였다....",https://search.shopping.naver.com/book/catalog/33369259624,https://shopping-phinf.pstatic.net/main_3336925/33369259624.20221229071002.jpg
완전한 사랑의 공동체,안드레아스 에렌프라이즈,KAP,20090730,9788992865050,0,"후터라이트 형제들의 위대한 지도자 중 한 사람인 안드레아스 에렌프라이즈는 백년 전 야콥 후터와 피터 리더만에 버금가는 탁월한 업적을 남겼다. 이 책은 ""자신이 세상에서 분리된 백성이 되기를 원한다고 자랑하고 생각하는 모든 사람들(특히 메노나이트, 스위스 형제들 외)에게 보낸 서신이다.",https://search.shopping.naver.com/book/catalog/32504754825,https://shopping-phinf.pstatic.net/main_3250475/32504754825.20220527030553.jpg
설명의 기술 (상대를 움직이고 행동하게 만드는 테크닉),옌스 에렌보리^존 매톡,아이디북,20030930,9788990351029,11250,"실제적인 프리젠테이션 상황에서 상대에게 자신의 주장과 의견을 잘 설명하는 핵심적인 방법을 보여주는 책. 고전적인 수사법에서부터 웹 기반 그래픽에 이르기까지, 상대의 마음을 움직이고 행동하게 만드는 설명의 기술을 시각적인 자료와 함께 잘 보여주고 있다.",https://search.shopping.naver.com/book/catalog/33435068775,https://shopping-phinf.pstatic.net/main_3343506/33435068775.20221228073239.jpg
123 KLAVIER(피아노 교재 1을 위한 교사지침서),클라우디아 에렌프라이스^울리케 볼벤더,음악춘추사,20100520,9788913012181,3150,"독일 피아노 교육가 클라우디아 에렌프라이스, 울리케 볼벤더의 『123 KLAVIER 교사지침서』 제1권. 6~10세의 1~4명의 어린이를 위한 피아노 교재  제1권의 교사지침서다. 을 통해 아이들에게 효율적으로 피아노를 가르치는 노하우를 얻게 된다.",https://search.shopping.naver.com/book/catalog/32510473625,https://shopping-phinf.pstatic.net/main_3251047/32510473625.20221227205335.jpg
